Partner Type,Local District,Organization/ Agency,Contact Link,Address,Full Address,City,Zip code,Phone number,Description,id,lon,lat
Food,All,World Harvest Food Bank,https://www.worldharvestla.org/,3100 Venice Blvd.,"3100 Venice Blvd., Los Angeles, 90019",Los Angeles,90019,(213) 746-2227,"Mon. - Fri. : 8:00 am - 6:00 pm, Sat. 8:00 am - 3:00 pm. There is a charge of $40.00 for over $200.00 worth of groceries where clients are able to choose from. Recipients must bring and ID, utility bill, and proof of residence.",2,-118.3181121,34.0432414
Food,C,All Peoples Community Center,N/A,822 E. 20th St.,"822 E. 20th St., Los Angeles, 90011",Los Angeles,90011,(213) 747-6357,Food pantry day and hours: Fridays: 9:30 am - 1:00 pm. Must bring ID.,3,-118.256591,34.0257438
Food,C,American Veteran Inc.,N/A,351 East Temple St,"351 East Temple St, Los Angeles, 90012",Los Angeles,90012,(909) 534-5953,Must call and schedule an appointment for pickup.,4,-118.2385001,34.0520292
Food,C,Brownson House Community Services Center,https://locator.lacounty.gov/lac/Location/3176351/catholic-charities-of-los-angeles---brownson-house,1307 Warren St.,"1307 Warren St., Los Angeles, 90033",Los Angeles,90033,(213) 251-3512,Food pantry days and hours: Mon-Fri: 9:00 am - 1:00 pm. Must provide a picture ID.,5,-118.2201788,34.0520689
Food,C,Central City Neighborhood Partners,https://www.laccnp.org/who-we-are.php,501 S. Bixel St.,"501 S. Bixel St., Los Angeles, 90017",Los Angeles,90017,(213) 482-8618,"Food pantry days and hours: Thursday: 9:00 am - 1:00 pm, or until food runs out. ID is not required, but preferred.",6,-118.2618214,34.0548809
Food,C,Charismatic Evangelical Ministries,N/A,439 S. Western Ave.,"439 S. Western Ave., Los Angeles, 90020",Los Angeles,90020,(213) 219-3228,"Food Pantry days and hours: 1st, 2nd, & 3rd Sunday from 1:00 pm - 2:00 pm. Senior only distribution on LAST Sunday from 1:00 pm - 2:00 pm. No ID is required at this time.",7,-118.3094961,34.066015
Food,C,Children's Hospital Los Angeles,https://www.chla.org/,5000 Sunset Blvd. 7th Fl.,"5000 Sunset Blvd. 7th Fl., Los Angeles, 90027",Los Angeles,90027,(323) 361-5981,Food pantry day and hours: Wednesdays: 10:00 am - 11:00 am. Please bring your own bags.,8,-118.2986129,34.0978447
Food,C,Christian Food Center,http://www.christianfood.org/,1355 E. Washington Blvd,"1355 E. Washington Blvd, Los Angeles, 90021",Los Angeles,90021,(213) 716-9115,"Tues-Fri: 9:00 a.m. - 3:30 p.m., and Sat: 9:00 a.m. - 12:00 p.m. This is not an in-kind pantry. Please bring $30.00 dollar donation for 250 pounds of groceries.",9,-118.2487564,34.0237527
Food,C,Downtown Women's Center,https://www.downtownwomenscenter.org/,442 S. San Pedro St.,"442 S. San Pedro St., Los Angeles, 90011",Los Angeles,90011,(213) 225-8032,"Meals, clothing, housing assistance. They are also available online. Grab and Go meals daily from 9:00 am - 9:30 am to women distributed through a gate.",10,-118.2432057,34.0446522
Food,C,DREAM Center,https://www.dreamcenter.org/,2301 Bellvue Ave,"2301 Bellvue Ave, Los Angeles, 90026",Los Angeles,90026,(213) 273-7000,"FREE MEALS (Breakfast, Lunch & Dinner) for all LAUSD students starting March 16th, 2020.",11,-118.269153,34.0745204
Food,C,Epiphany Episcopal Church,NA,2808 Altura St.,"2808 Altura St., Los Angeles, 90031",Los Angeles,90031,(323) 227-9931,Food distribution day and hours: 2nd and 4th Friday of the month: 10:30 am - until supplies last.,12,-118.212868,34.0752644
Food,C,Estrella Del Mar De Los Angeles - Regis House Community Center,https://www.regishousecommunitycenter.org/,2212 Beverly Blvd,"2212 Beverly Blvd, Los Angeles, 90057",Los Angeles,90057,(213) 380-8168,Food pantry day and hours: 2nd and 4th Thursday of the month: 10:00 am - 11:00 am. Please bring a valid ID and bags.,13,-118.271985,34.0670916
Food,C,First Southern Baptist Church of Hollywood,N/A,1528 N. Wilton Place,"1528 N. Wilton Place, Los Angeles, 90028",Los Angeles,90028,(323) 466-9631,Food pantry day and hours: Mondays: 9:30 am - until supplies last. Fridays: 5:00 pm - 6:00 pm. Must start lining up at 4:00 pm and bring your own bags.,14,-118.3132449,34.0991321
Food,C,Hope On Union,http://www.uuc-la.org/food-bank,1053 W. 23rd St.,"1053 W. 23rd St., Los Angeles, 90007",Los Angeles,90007,(213) 205-8933,Food pantry days and hours: Thursdays: 8:00 am - 11:00 am. Senior only day- Fridays: 10:00 am - 1:00 pm. No ID required.,15,-118.2831603,34.035096
Food,C,Immanuel Presbyterian Church,https://immanuelpres.org/,668 S. Catalina St.,"668 S. Catalina St., Los Angeles, 90005",Los Angeles,90005,(213) 389-3191,Food Pantry days and hours: Mon-Sat: 8:00 am - 12:00 pm. ID is not required.,16,-118.295258,34.0610688
Food,C,Living Truth Christian Fellowship,https://foodoasis.la/food-pantry/living-truth-christian-fellowship/,5873 Normandie Ave.,"5873 Normandie Ave., Los Angeles, 90044",Los Angeles,90044,(323) 290-3909,NA,17,-118.3003672,33.9876583
Food,C,Silver Lake Community Church,http://www.thesilverlakechurch.net/,2930 Hyperion Avenue,"2930 Hyperion Avenue, Los Angeles, 90010",Los Angeles,90010,(323)-663-3151,Call for more information.,18,-118.2702492,34.1099299
Food,C,St Francis Center,https://www.stfranciscenterla.org/,1835 S. Hope St,"1835 S. Hope St, Los Angeles, 90015",Los Angeles,90015,(213) 747-5347,"Meal services, clothing closets, showers/bathroom services, and rental and utility assistance programs (over the phone) for homeless and low-income individuals in Los Angeles. Food Pantry hours are: Wed. Thurs., & Sat. 10:30 am - 12 pm. Registration or documentation is not required at this time.",19,-118.2697925,34.0340212
Food,C,St. James Episcopal Church,https://stjla.org/,3903 Wilshire Blvd.,"3903 Wilshire Blvd., Los Angeles, 90010",Los Angeles,90010,(323) 934-5870,Food Pantry is open Thursdays from 8:00 am - 9:00 am. No ID is required at this time.,20,-118.3120852,34.0620373
Food,C,Wilshire Presbyterian Church,http://wilshirepres.org/Home_Page.php,309 S. Oxford Ave.,"309 S. Oxford Ave., Los Angeles, 90020",Los Angeles,90020,(213) 387-5387,Food Pantry is open Mondays: 8:00 am - unitl food runs out. No ID is required at this time.,21,-118.3081806,34.0686339
Food,E,Bienestar East Los Angeles,N/A,5326 East Beverly Blvd,"5326 East Beverly Blvd, Los Angeles, 90022",Los Angeles,90022,(323) 727-7896,Food pantry days and hours: Tuesday: 11:00 am - 12:00 pm; Wednesday: 10:00 am - 12:00pm; & Thursday: 12:00 pm - 4:00 pm. Must be HIV positive and be a resident of East Los Angeles.,22,-118.1506226,34.0300336
Food,E,Church of the Epiphany,N/A,2802 Altura St.,"2802 Altura St., Los Angeles, 90031",Los Angeles,90031,(323) 227-9931,Next food pantry date is 4/24/20 at 8:30 am until supplies last.,23,-118.2130597,34.0752496
Food,E,Door of Hope Community Center,N/A,1414 South Atlantic Blvd,"1414 South Atlantic Blvd, Los Angeles, 90022",Los Angeles,90022,(323) 262-2777,Thurs: 9:00 a.m. - 11:00 a.m.. Call ahead and arrive early.,24,-118.1590196,34.012313
Food,E,Downey First Christian Church,http://downeyfirst.org/,10909 New St.,"10909 New St., Downey, 90241",Downey,90241,(562) 862-2438,"Saturdays 9:00 am -12:00 pm. Walk in service available. Food distribution takes place in their Cafe Building at 10900 Lorena Ave., Downey. No ID or documentation required at this time.",25,-118.1322518,33.9430677
Food,E,East LA Temple Salvation Army,https://eastla.salvationarmy.org/east_los_angeles_corps/,140 N Eastman Ave.,"140 N Eastman Ave., Los Angeles, 90063",Los Angeles,90063,(323) 263-7577,Mon. -Fri. : 9:00 am - 3:30 pm. ID is required.,26,-118.1854499,34.0369244
Food,E,Food Net- Centro Maravilla,https://foodoasis.la/food-pantry/food-net-centro-maravilla/,4716 East Cesar Chavez Avenue,"4716 East Cesar Chavez Avenue, Los Angeles, 90022",Los Angeles,90022,(323) 260-2805,"Food pantry days and hours: Mon, Tues, Thurs, & Fri: 9:00 am - 4:30 pm. Must call in advance and make an appointment. Diapers are also available subject to availability.",27,-118.1644721,34.0403342
Food,E,Gloria Molina YMCA Food Distribution,https://ywcagla.org/what-we-do/empowerment-sites/,7515 Pacific Blvd.,"7515 Pacific Blvd., Walnut Park, 90255",Walnut Park,90255,(213) 516-3575,Elderly meal distribution program. Call for information.,28,-118.225517,33.971112
Food,E,Los Angelitos Bakery,N/A,2881 E Florence Ave,"2881 E Florence Ave, Huntington Park, 90255",Huntington Park,90255,(323) 587-2253,"Offering 1 FREE BREAD to per child, ages 5-13yrs old throughout LAUSD closure. More information on their Instagram page. Mon. - Fri.: 12 pm. - 2 pm. Must bring kids along, but they can stay outside as long as they can see the kids.",29,-118.2178714,33.973646
Food,E,Salvation Army,https://southeastcommunities.salvationarmy.org/,2965 E Gage Ave.,"2965 E Gage Ave., Huntington Park, 90255",Huntington Park,90255,(323) 587-4221,Non-perishable food; call first.,30,-118.2163864,33.9814472
Food,E,South East Churches Service Center,https://www.211la.org/211search/more?site_id=1034259001,6725 Seville Ave.,"6725 Seville Ave., Huntington Park, 90255",Huntington Park,90255,(323) 585-8254,Also utility assistance by appointment: Mon. & Thurs. 9:00 am - 12:00 pm. and 1:00 pm - 3:00 pm. No longer providing food assistance at this time.,31,-118.2227667,33.9780082
Food,Various,A.V. Living Water Worship Center,https://lwwcofav.org/,111 West Avenue L-12,"111 West Avenue L-12, Lancaster, 93535",Lancaster,93535,(661) 313-6240,"Mon - Thurs: 1:00 p.m. - 2:00 p.m. Sat: 10:45 a.m. - 1:00 p.m. Please arrive by 8:00 am to receive a number for food. Once you have received a number, you may return back during the food pantry hours to receive your box of food.",32,-118.2094464,34.6492611
Food,Various,Bethany Church,N/A,17054 Bixby Avenue,"17054 Bixby Avenue, Bellflower, 90706",Bellflower,90706,(562) 866-1812,Distribution Tues: 2:00 p.m. - 3:00 p.m.. Sack lunches Wed: 4:00 p.m. - 4:30 p.m. No ID required.,33,-118.1205429,33.8787135
Food,Various,Catholic Charities Of Los Angeles-San Pedro,https://catholiccharitiesla.org/,123 E. 14th St.,"123 E. 14th St., Long Beach, 90813",Long Beach,90813,(213) 251-3432,Food pantry days and hours: Tues & Thurs: 9:30 am - 12:00 pm & 1:30 pm - 3:00 pm. Service is available to Long Beach residents only.,34,-118.1916422,33.784066
Food,Various,Catholic Charities of Los Angeles-St. Margaret's Center,https://catholiccharitiesla.org/,10217 Inglewood Ave,"10217 Inglewood Ave, Lennox, 90304",Lennox,90304,(310) 672-2208,By appointment only. Please call Monday: 8:30 am - 12:00 pm and 1:00 pm - 5:00 pm to make an appointment for Wednesday food distribution.,35,-118.3618318,33.9430344
Food,Various,Chicana Worship Center,N/A,42640 10th Street West,"42640 10th Street West, Lancaster, 93534",Lancaster,93534,(661) 940-8378,Distribution every 3rd Saturday of each month: 10:00 a.m.-12:00 p.m.. Valid ID needed and must bring own bags. Call ahead of time.,36,-118.1471819,34.6579322
Food,Various,Christian Outreach In Action,http://www.coalongbeach.org/,515 E. 3rd St.,"515 E. 3rd St., Long Beach, 90802",Long Beach,90802,(562) 432-1440,Food pantry days and hours: Tues & Thurs: 9:00 am - 12:00 pm. No ID required. Please bring your own bags. Grab and Go breakfast: Mon-Sun: 7:00 am. Grab and Go dinner: Mon-Fri: 4:30 pm.,37,-118.186108,33.7707206
Food,Various,Cory's Kitchen Irwindale,https://www.shepherdspantry.com/locations-services/,1418 Arrow Highway,"1418 Arrow Highway, Irwindale, 91706",Irwindale,91706,(626) 305-0392,Tues: 4:00 p.m. - 7:00 p.m.. Drive thru option. Must provide picture ID.,38,-117.9746909,34.1146127
Food,Various,First Baptist Church Of Long Beach,https://www.fbclb.org/,1000 Pine Ave.,"1000 Pine Ave., Long Beach, 90813",Long Beach,90813,(562) 432-8447,Food pantry day and hours are Mondays: 9:30 am - 11:00 am. Food pantry service is for Long Beach residents only. ID required.,39,-118.1920306,33.7800148
Food,Various,Grace Resouce Center,https://www.graceresources.org/,45134 Sierra Hwy,"45134 Sierra Hwy, Lancaster, 93534",Lancaster,93534,(661) 940-5272,Distribution for Spanish Speaking individuals on Wed. at 10:00 a.m. English Speaking individuals Tues. & Thurs. 10:00 a.m. - 1:00 p.m.. Hot meals served Wed. & Fri. 5:30 p.m. and Sun. 1:30 p.m.,41,-118.1374805,34.7030117
Food,Various,Grateful Hearts,https://gratefulhearts.org/,5420 Katella Ave,"5420 Katella Ave, Los Alamitos, 90720",Los Alamitos,90720,(562) 431-0880,"Must call and schedule an appointment for pickup. Food distribution days and hours: Wed, Thurs, & Sat: 8:00 am - 3:00 pm.",42,-118.0381404,33.8025951
Food,Various,Hawaiian Gardens Food Bank,http://hawaiiangardensfoodbank.com/,22121 Norwalk Blvd,"22121 Norwalk Blvd, Hawaiian Gardens, 90716",Hawaiian Gardens,90716,(562) 860-9097,Food pantry days and hours: Wednesday: 2:00 pm - 6:00 pm and Thursday: 9:30 am - 3:30 pm.,43,-118.0721441,33.8270963
Food,Various,Help Me Help You- Philadephian SDA Church,https://www.helpmehelpu.org/,2640 Sante Fe Ave.,"2640 Sante Fe Ave., Long Beach, 90810",Long Beach,90810,(562) 612-5001,Food pantry days and hours: 2nd and 4th Wednesday of the month: By appointment only.,44,-118.2150931,33.8052212
Food,Various,Help Me Help You- Stevenson Elementary School,https://www.helpmehelpu.org/,515 Lime Ave,"515 Lime Ave, Long Beach, 90802",Long Beach,90802,(562) 612-5001,Food pantry days and hours: 1st and 3rd Friday the month: 1:30 pm - 2:30 pm. No ID required.,45,-118.1839875,33.7738153
Food,Various,Hope in Action,N/A,2420 Pacific Coast Highway,"2420 Pacific Coast Highway, Hermosa Beach, 90254",Hermosa Beach,90254,(310) 374-4673,"Wed & Fri: 9:00 a.m. - 12:00 p.m., & 1:00 p.m. - 4:00 p.m. Food distribution is only for South Bay residents only.",46,-118.3947754,33.8716927
Food,Various,Inglewood Southside Christian,https://isschristian.org/,3947 West 10th St,"3947 West 10th St, Inglewood, 90303",Inglewood,90303,(310) 677-0446,"2nd Sat. of the month, 10:00 a.m. - 12:00 p.m. or until supplies last. Must provide proof of address.",47,-118.3315838,33.93583520000001
Food,Various,Inland Valley Hope Partners - Claremont,http://www.inlandvalleyhopepartners.org/,660 North Mountain Avenue,"660 North Mountain Avenue, Claremont, 91711",Claremont,91711,(909) 622-3806,"Mon-Thurs: 9:00 a.m. - 2:30 p.m.. Must provide photo ID for every household member, proof of income, and proof of address.",48,-117.728539,34.099539
Food,Various,Loaves and Fishes- Glendale,https://foodoasis.la/food-pantry/loaves-fishes-glendale/,4322 San Fernando Rd.,"4322 San Fernando Rd., Glendale, 91204",Glendale,91204,(213) 318-5707,"Food pantry days and hours: Mon, Tues, Wed, & Fri: 10:00 am - 1:30 pm. Must provide ID, proof of income and address, along with birth certificates of each child in household.",49,-118.2609307,34.131613
